City/Town,TOWN_ID,Sen10D,Sen10R,POP2010
Abington,1,2088,4163,9767
Acton,2,5375,3901,27999
Acushnet,3,1627,2139,4355
Adams,4,1651,748,8264
Agawam,5,3661,6726,95072
Alford,6,157,68,19808
Amesbury,7,2544,3481,15784
Amherst,8,6554,1180,1566
Andover,9,5905,8338,16767
Aquinnah,104,150,42,16719
Arlington,10,13287,6847,8283
Ashburnham,11,866,1575,37819
Ashby,12,475,949,17668
Ashfield,13,671,212,899
Ashland,14,2897,3470,55874
Athol,15,1171,2107,21822
Attleboro,16,4831,8607,4680
Auburn,17,2407,4037,12981
Avon,18,706,1155,32112
Ayer,19,989,1467,3257
Barnstable,20,7544,12332,17416
Barre,21,729,1263,10106
Becket,22,384,225,28961
Bedford,23,2976,2901,40318
Belchertown,24,2629,2749,5839
Bellingham,25,2179,4097,8055
Belmont,26,6533,4407,7086
Berkley,27,746,1618,35177
Berlin,28,538,825,11584
Bernardston,29,445,378,3235
Beverly,30,6744,8400,3504
Billerica,31,4972,9587,9872
Blackstone,32,1052,2102,10172
Blandford,33,196,343,1225
Bolton,34,996,1362,5125
Boston,35,105544,46575,1897
Bourne,36,2809,5137,6756
Boxborough,37,1141,1087,27982
Boxford,38,1239,2837,28886
Boylston,39,729,1321,1234
Braintree,40,5612,9320,24747
Brewster,41,2430,2751,92271
Bridgewater,42,2794,6138,51251
Brimfield,43,489,995,28438
Brockton,44,11768,9638,12024
Brookfield,45,430,813,181045
Brookline,46,15312,5236,13787
Buckland,47,522,263,12994
Burlington,48,3660,5640,31531
Cambridge,49,27373,4927,4382
Canton,50,3788,5770,15873
Carlisle,51,1442,1215,20675
Carver,52,1611,3222,25132
Charlemont,53,278,176,1054
Charlton,54,1272,3461,14155
Chatham,55,1490,2179,10303
Chelmsford,56,5694,9421,4907
Chelsea,57,2568,1503,24498
Cheshire,58,740,436,5025
Chester,59,194,292,337
Chesterfield,60,264,242,1779
Chicopee,61,7046,8343,7104
Chilmark,62,366,142,393
Clarksburg,63,395,186,521
Clinton,64,1663,2725,10646
Cohasset,65,1419,2401,2003
Colrain,66,401,249,10300
Concord,67,5455,3277,2750
Conway,68,685,303,6081
Cummington,69,306,130,16283
Dalton,70,1424,845,717
Danvers,71,3651,6347,18272
Dartmouth,72,5115,5815,3410
Dedham,73,4647,5979,4875
Deerfield,74,1482,853,6916
Dennis,75,3134,4359,4852
Dighton,76,829,1770,26628
Douglas,77,840,2440,31394
Dover,78,1058,1889,3091
Dracut,79,3166,7658,648
Dudley,80,1125,2516,9268
Dunstable,81,502,969,24729
Duxbury,82,2676,4985,75
E. Bridgewater,83,1583,3851,847
E. Brookfield,84,245,645,4119
E. Longmeadow,85,2092,4294,23116
Eastham,86,1544,1473,88857
Easthampton,87,3708,2494,780
Easton,88,3297,5940,27003
Edgartown,89,1002,772,8485
Egremont,90,445,172,7891
Erving,91,296,208,3609
Essex,92,685,1023,1306
Everett,93,4248,3798,26493
Fairhaven,94,2834,3045,1612
Fall River,95,10388,7520,1671
Falmouth,96,7139,8045,3032
Fitchburg,97,3786,5578,2820
Florida,98,144,125,6411
Foxborough,99,2479,4832,12629
Framingham,100,10341,9169,8437
Franklin,101,4470,8828,11292
Freetown,102,1191,2221,59450
Gardner,103,2441,3274,21437
Georgetown,105,1239,2311,28549
Gill,106,402,226,35744
Gloucester,107,5563,5525,18133
Goshen,108,244,204,11227
Gosnold,109,18,29,14489
Grafton,110,2442,4372,1702
Granby,111,1045,1512,4806
Granville,112,207,472,41094
Great Barrington,113,2026,592,41340
Greenfield,114,3842,1994,38499
Groton,115,2135,2664,14649
Groveland,116,992,1984,8870
Hadley,117,1410,937,752
Halifax,118,992,2149,1156
Hamilton,119,1381,2320,10506
Hampden,120,754,1511,9820
Hancock,121,158,118,4067
Hanover,122,1895,4733,13606
Hanson,123,1254,3067,6590
Hardwick,124,377,588,43593
Harvard,125,1568,1306,12243
Harwich,126,2637,3602,26962
Hatfield,127,875,652,18165
Haverhill,128,7267,11078,6666
Hawley,129,63,64,13879
Heath,130,203,123,13457
Hingham,131,4419,6800,5250
Hinsdale,132,415,285,13708
Holbrook,133,1527,2402,23184
Holden,134,2865,5397,2129
Holland,135,299,631,29457
Holliston,136,2921,3725,1771
Holyoke,137,4871,3772,31635
Hopedale,138,999,1623,7277
Hopkinton,139,2603,4126,40759
Hubbardston,140,607,1389,51755
Hudson,141,3070,4181,10955
Hull,142,2040,2411,4356
Huntington,143,346,467,7518
Ipswich,144,2606,3606,85146
Kingston,145,1702,3579,13175
Lakeville,146,1260,3248,7542
Lancaster,147,1014,1860,16188
Lanesborough,148,654,399,55298
Lawrence,149,6463,3336,7764
Lee,150,1272,705,56468
Leicester,151,1321,2682,5398
Lenox,152,1533,594,4897
Leominster,153,4711,8127,16332
Leverett,154,779,164,3179
Lexington,155,9397,4959,692
Leyden,156,211,116,42844
Lincoln,157,1931,901,2990
Littleton,158,1859,2389,167
Longmeadow,159,3163,4199,3074
Lowell,160,9571,10559,10293
Ludlow,161,2768,4159,76377
Lunenburg,162,1530,2890,21103
Lynn,163,9802,8597,7839
Lynnfield,164,1620,4012,34032
Malden,165,7796,5946,872
Manchester-by-the-Sea,166,1193,1497,41667
Mansfield,167,3045,5912,6240
Marblehead,168,4659,5290,5943
Marion,169,1002,1332,7808
Marlborough,170,5042,6817,14219
Marshfield,171,3896,7681,8183
Mashpee,172,2313,3835,11509
Mattapoisett,173,1317,1834,4956
Maynard,174,2231,2131,26983
Medfield,175,2276,3842,5136
Medford,176,11428,8387,11497
Medway,177,2044,3641,38120
Melrose,178,5871,6098,8963
Mendon,179,792,1751,68318
Merrimac,180,1042,1652,5135
Methuen,181,4838,9175,1266
Middleborough,182,2619,6159,28391
Middlefield,183,129,113,999
Middleton,184,1082,2414,24729
Milford,185,3561,5432,3413
Millbury,186,1655,3128,10086
Millis,187,1384,2430,6459
Millville,188,323,799,13261
Milton,189,6442,6347,1321
Monroe,190,20,19,24932
Monson,191,1258,1934,17489
Montague,192,1943,1014,13722
Monterey,193,298,102,8013
Montgomery,194,123,267,12140
Mount Washington,195,62,21,16865
Nahant,196,877,880,6362
Nantucket,197,2141,2032,13794
Natick,198,7211,6959,10602
Needham,199,7658,6899,1258
New Ashford,200,68,39,31915
New Bedford,201,12614,8068,23112
New Braintree,202,169,285,33006
New Marlborough,203,366,227,93810
New Salem,204,259,195,848
Newbury,205,1414,2048,21951
Newburyport,206,4270,4174,14892
Newton,207,23456,11352,3949
Norfolk,208,1399,3315,21924
North Adams,209,2854,965,8987
North Andover,210,3828,7020,327
North Attleborough,211,3029,7804,22157
North Brookfield,212,528,1225,22325
North Reading,213,2135,4375,1475
Northampton,214,9430,2448,5911
Northborough,215,2492,3829,8471
Northbridge,216,1639,3988,15985
Northfield,217,744,508,866
Norton,218,2210,4424,9502
Norwell,219,1684,3487,23793
Norwood,220,4534,6570,494
Oak Bluffs,221,1178,735,1222
Oakham,222,281,645,28712
Orange,223,869,1416,53743
Orleans,224,1707,1966,1607
Otis,225,265,283,7669
Oxford,226,1441,3152,11688
Palmer,227,1622,2525,1500
Paxton,228,687,1333,14207
Peabody,229,7620,11441,1851
Pelham,230,596,125,1682
Pembroke,231,2424,5134,33802
Pepperell,232,1607,3279,17514
Peru,233,162,125,2482
Petersham,234,306,357,3390
Phillipston,235,235,467,10970
Pittsfield,236,8992,3803,2032
Plainfield,237,213,91,35608
Plainville,238,971,2469,2942
Plymouth,239,8011,14327,7542
Plympton,240,444,951,40243
Princeton,241,684,1165,5232
Provincetown,242,1346,238,6520
Quincy,243,13337,15609,11608
Randolph,244,6001,3701,7211
Raynham,245,1687,3574,1902
Reading,246,4665,6240,3279
Rehoboth,247,1538,3080,4996
Revere,248,5023,5786,17346
Richmond,249,499,220,47255
Rochester,250,777,1671,1737
Rockland,251,2232,4256,15865
Rockport,252,1879,1667,153060
Rowe,253,97,89,13320
Rowley,254,894,1845,16593
Royalston,255,213,298,121
Russell,256,195,379,1902
Rutland,257,1029,2308,10209
Salem,258,6659,5744,12752
Salisbury,259,1061,1927,3701
Sandisfield,260,150,146,990
Sandwich,261,3416,6625,6125
Saugus,262,3588,6317,60632
Savoy,263,131,104,10791
Scituate,264,3471,5590,39880
Seekonk,265,1912,3137,228
Sharon,266,4463,3541,1509
Sheffield,267,822,448,838
Shelburne,268,588,263,33201
Sherborn,269,1062,1270,2183
Shirley,270,870,1526,711
Shrewsbury,271,5249,7876,2180
Shutesbury,272,773,158,11390
Somerset,273,3553,3707,58732
Somerville,274,17014,5469,4235
South Hadley,275,3232,3435,8924
Southampton,276,1052,1533,4527
Southborough,277,1845,2681,7973
Southbridge,278,1748,2271,6045
Southwick,279,1074,2470,15532
Spencer,280,1238,2727,60879
Springfield,281,17673,10672,706
Sterling,282,1194,2596,17659
Stockbridge,283,674,225,5856
Stoneham,284,3634,5473,1496
Stoughton,285,4467,5619,19754
Stow,286,1598,1791,538
Sturbridge,287,1351,2456,7754
Sudbury,288,4297,4080,1893
Sunderland,289,844,410,311
Sutton,290,1138,2936,15720
Swampscott,291,3127,3224,5792
Swansea,292,2453,3298,20228
Taunton,293,6595,8944,13383
Templeton,294,886,1816,6952
Tewksbury,295,3383,7355,11261
Tisbury,296,1174,579,8560
Tolland,297,56,158,915
Topsfield,298,1117,1993,1800
Townsend,299,1093,2619,961
Truro,300,673,396,2740
Tyngsborough,301,1453,3187,8926
Tyringham,302,131,82,17497
Upton,303,1138,2127,1947
Uxbridge,304,1651,3690,5890
Wakefield,305,4414,6818,7427
Wales,306,245,441,13709
Walpole,307,3565,7608,44737
Waltham,308,8530,8546,14925
Ware,309,1127,1785,1775
Wareham,310,3130,4629,6338
Warren,311,594,986,15707
Warwick,312,207,123,1233
Washington,313,160,91,16053
Watertown,314,7305,4521,28352
Wayland,315,3597,2915,19031
Webster,316,1542,2980,5139
Wellesley,317,5971,5935,3684
Wellfleet,318,1075,596,13547
Wendell,319,338,79,17456
Wenham,320,675,1185,17765
West Boylston,321,1135,2049,9026
West Bridgewater,322,842,2212,56173
West Brookfield,323,524,907,106519
West Newbury,324,906,1281,39502
West Springfield,325,3145,5102,28789
West Stockbridge,326,473,165,1337
West Tisbury,327,1034,347,21374
Westborough,328,3010,3832,3190
Westfield,329,4543,7775,26563
Westford,330,3888,5937,485
Westhampton,331,415,431,21561
Westminster,332,1023,2204,14006
Weston,333,2428,2797,11596
Westport,334,2898,3203,45193
Westwood,335,2963,4475,5589
Weymouth,336,8109,13098,19063
Whately,337,420,305,14618
Whitman,338,1684,3724,2481
Wilbraham,339,2216,4237,105162
Williamsburg,340,898,355,24070
Williamstown,341,2112,613,2866
Wilmington,342,3057,6225,17612
Winchendon,343,986,1909,90329
Winchester,344,4879,5253,28602
Windsor,345,252,141,1838
Winthrop,346,2903,3597,617594
Woburn,347,5638,8367,6085
Worcester,348,19918,17926,75754
Worthington,349,335,229,17837
Wrentham,350,1417,3882,15059
Yarmouth,351,4395,6498,7965
